date,year,id,yi,block,trt,irr,tss,out,tssl
7/1/2011,2011,1,2011.A,1,CT,1,1.875423941,11576.43394,21.71072136
7/1/2011,2011,2,2011.A,1,MT,1,0.493017717,21021.89,10.36416421
7/1/2011,2011,3,2011.A,1,ST,1,0.616964899,17853.845,11.01519568
7/1/2011,2011,4,2011.A,2,CT,1,1.479435209,7426.17,10.98653737
7/1/2011,2011,5,2011.A,2,MT,1,0.526184873,15423.14428,8.115425214
7/1/2011,2011,6,2011.A,2,ST,1,0.254594913,21699.405,5.524558128
7/1/2011,2011,1,2011.B,1,CT,2,1.308017352,28720.58,37.567017
7/1/2011,2011,2,2011.B,1,MT,2,0.667693265,30170.235,20.14446271
7/1/2011,2011,3,2011.B,1,ST,2,0.59028215,20904.555,12.33958567
7/1/2011,2011,4,2011.B,2,CT,2,1.403405513,13281.565,18.63942154
7/1/2011,2011,5,2011.B,2,MT,2,1.721447545,36672.865,63.13041342
7/1/2011,2011,6,2011.B,2,ST,2,0.518915766,32982.49,17.11513406
7/1/2011,2011,1,2011.C,1,CT,3,1.185726352,14140.76,16.76707177
7/1/2011,2011,2,2011.C,1,MT,3,0.95638446,39550.80697,37.82577717
7/1/2011,2011,3,2011.C,1,ST,3,0.311022293,26177.06,8.141649225
7/1/2011,2011,4,2011.C,2,CT,3,1.392195017,30783.405,42.85650305
7/1/2011,2011,5,2011.C,2,MT,3,1.726305202,28580.25788,49.33824785
7/1/2011,2011,6,2011.C,2,ST,3,0.609802128,43743.245,26.67472389
7/1/2011,2011,1,2011.D,1,CT,4,1.429950419,15526.07,22.2015103
7/1/2011,2011,2,2011.D,1,MT,4,0.986767995,30048.7486,29.65114341
7/1/2011,2011,3,2011.D,1,ST,4,2.79191946,26531.69126,74.07434514
7/1/2011,2011,4,2011.D,2,CT,4,1.107271189,17607.82,19.49663179
7/1/2011,2011,5,2011.D,2,MT,4,1.535921524,48614.54,74.66811837
7/1/2011,2011,6,2011.D,2,ST,4,0.399964499,31332.23,12.53177967
7/1/2011,2011,1,2011.E,1,CT,5,1.637888969,26499.97855,43.40402255
7/1/2011,2011,2,2011.E,1,MT,5,0.888400041,19322.425,17.16604316
7/1/2011,2011,3,2011.E,1,ST,5,0.428016737,29496.505,12.62499782
7/1/2011,2011,4,2011.E,2,CT,5,1.502316056,21723.2931,32.63525201
7/1/2011,2011,5,2011.E,2,MT,5,1.457570743,23467,34.20481263
7/1/2011,2011,6,2011.E,2,ST,5,0.296114677,18213.42,5.39326098
7/1/2011,2011,1,2011.F,1,CT,6,1.061753065,23694.1,25.1572833
7/1/2011,2011,2,2011.F,1,MT,6,0.877443514,25450.34,22.33123576
7/1/2011,2011,3,2011.F,1,ST,6,1.062058294,13379.975,14.21031342
7/1/2011,2011,4,2011.F,2,CT,6,1.390304567,20212.2534,28.10118821
7/1/2011,2011,5,2011.F,2,MT,6,1.301466744,31889.20627,41.50274145
7/1/2011,2011,6,2011.F,2,ST,6,0.40448568,16597.225,6.71333984
5/16/2012,2012,1,2012.A,1,CT,1,0,0,0
5/16/2012,2012,2,2012.A,1,MT,1,0.379689484,17978.35979,6.826194152
5/16/2012,2012,3,2012.A,1,ST,1,0,0,0
5/16/2012,2012,4,2012.A,2,CT,1,0,0,0
5/16/2012,2012,5,2012.A,2,MT,1,0.256848317,26352.42569,6.768576187
5/16/2012,2012,6,2012.A,2,ST,1,0,0,0
6/4/2012,2012,1,2012.B,1,CT,2,1.336208475,28035.495,37.46126602
6/4/2012,2012,2,2012.B,1,MT,2,0,0,0
6/4/2012,2012,3,2012.B,1,ST,2,0,0,0
6/4/2012,2012,4,2012.B,2,CT,2,1.46406813,30094.535,44.06044958
6/4/2012,2012,5,2012.B,2,MT,2,0,0,0
6/4/2012,2012,6,2012.B,2,ST,2,0,0,0
6/12/2012,2012,1,2012.C,1,CT,3,0,0,0
6/12/2012,2012,2,2012.C,1,MT,3,0.309165046,18448.09,5.703504593
6/12/2012,2012,3,2012.C,1,ST,3,0.338176096,32832.17143,11.10305556
6/12/2012,2012,4,2012.C,2,CT,3,0,0,0
6/12/2012,2012,5,2012.C,2,MT,3,1.108171908,24678.2,27.34768798
6/12/2012,2012,6,2012.C,2,ST,3,0.346642812,21489.06714,7.449030661
6/27/2012,2012,1,2012.D,1,CT,4,1.077315577,13879.595,14.9527039
6/27/2012,2012,2,2012.D,1,MT,4,0.596965229,32997.63,19.69843775
6/27/2012,2012,3,2012.D,1,ST,4,0.735272783,9753.945,7.171810285
6/27/2012,2012,4,2012.D,2,CT,4,1.301891551,9625.255,12.53103816
6/27/2012,2012,5,2012.D,2,MT,4,1.336742447,10851.595,14.50578765
6/27/2012,2012,6,2012.D,2,ST,4,0.636145705,8569.24,5.451285221
7/17/2012,2012,1,2012.E,1,CT,5,1.095499429,15768.31,17.2741746
7/17/2012,2012,2,2012.E,1,MT,5,0.525400501,23860.64,12.53639221
7/17/2012,2012,3,2012.E,1,ST,5,1.10314587,16839.465,18.57638627
7/17/2012,2012,4,2012.E,2,CT,5,1.240671322,19064.25597,23.65247566
7/17/2012,2012,5,2012.E,2,MT,5,1.693505875,17932.33974,30.3685227
7/17/2012,2012,6,2012.E,2,ST,5,0.519098475,24920.44,12.9361624
7/25/2012,2012,1,2012.F,1,CT,6,0.762436721,38678.915,29.49022512
7/25/2012,2012,2,2012.F,1,MT,6,0.547145608,22741.87537,12.44311723
7/25/2012,2012,3,2012.F,1,ST,6,0.897014274,13580.81969,12.18218911
7/25/2012,2012,4,2012.F,2,CT,6,1.067549901,18534.16149,19.78614226
7/25/2012,2012,5,2012.F,2,MT,6,1.212908626,13898.52,16.8576348
7/25/2012,2012,6,2012.F,2,ST,6,1.070533267,32452.59,34.7415772
8/1/2012,2012,1,2012.G,1,CT,7,0.828049399,24704.695,20.45670785
8/1/2012,2012,2,2012.G,1,MT,7,0.886837243,20355.73,18.05221947
8/1/2012,2012,3,2012.G,1,ST,7,0.825646536,13792.03819,11.38734856
8/1/2012,2012,4,2012.G,2,CT,7,1.022269595,16037.045,16.3941835
8/1/2012,2012,5,2012.G,2,MT,7,0.999637405,14799.35,14.79398383
8/1/2012,2012,6,2012.G,2,ST,7,0.757829897,26014.305,19.71441808
8/9/2012,2012,1,2012.H,1,CT,8,1.936656791,22403.415,43.3877258
8/9/2012,2012,2,2012.H,1,MT,8,0.664720529,19485.18,12.95219916
8/9/2012,2012,3,2012.H,1,ST,8,0.615096807,11994.665,7.377880143
8/9/2012,2012,4,2012.H,2,CT,8,2.234083852,19147.51816,42.77716113
8/9/2012,2012,5,2012.H,2,MT,8,1.424263836,14723.65,20.97036223
8/9/2012,2012,6,2012.H,2,ST,8,0.773361191,14367.86,11.11154532
8/20/2012,2012,1,2012.I,1,CT,9,0.769965542,18009.03,13.86633254
8/20/2012,2012,2,2012.I,1,MT,9,0.390641231,49284.485,19.25255189
8/20/2012,2012,3,2012.I,1,ST,9,0.580006972,19541.955,11.33447015
8/20/2012,2012,4,2012.I,2,CT,9,0.932844943,18084.73,16.87024893
